Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,664510,2015,22.82418811,114.3482262,184,139,678.8213579,NA,NA,0.048402604,249,74,0.065876409,323,87.97044299,110.4616175,168,30.20540696,49.61011487,58
Current,664510,2016,26.49946475,242.8365596,175,132,678.8213579,1,1,0.087508104,253,54,0.068130348,307,74.81454075,86.49712139,159,15.84932495,70.72005941,74
Current,664510,2017,140.3034629,507.6305242,122,206,678.8213579,64,4,0.084305961,251,77,0.040782933,328,103.5334724,123.4012495,106,145.1187526,171.4070895,53
Current,664510,2018,35.72270425,133.734364,178,155,678.8213579,NA,NA,0.052277172,241,92,0.04213585,333,117.3938448,176.8494305,162,18.21500965,62.85422281,48
Current,664510,2019,61.54456037,229.5237928,177,149,678.8213579,4,1,0.093300618,262,64,0.047989408,326,75.82208581,92.52633107,161,82.57528034,94.72032979,55
Current,664510,2020,29.25692543,182.7462678,181,136,678.8213579,NA,NA,0.107364444,248,69,0.055862761,317,98.86368093,112.7924739,165,22.70964487,37.48656517,64
Current,664510,2021,NA,NA,NA,NA,678.8213579,NA,NA,NA,252,26,0.023454594,278,NA,NA,NA,13.3314307,28.97764214,103
Current,664510,2022,27.38057894,133.3458385,168,124,678.8213579,NA,NA,0.060747265,259,33,0.082591443,292,73.19794965,81.44420404,152,15.82528381,25.28200061,89
Current,664510,2023,108.0998056,472.3852592,184,144,678.8213579,60,1,0.059010244,244,84,0.041104863,328,83.32217809,97.31980862,168,100.2582819,129.5991992,53
Current,664510,2024,81.01226091,262.3702233,180,161,678.8213579,24,2,0.06749212,256,85,0.038176989,341,NA,NA,NA,NA,NA,NA
Predicted,664510,1955,241.7316155,509.8589064,190.7825583,132.2079,2013.598947,9.751675,1.452108333,0.14398102,253.8182333,80.362275,0.049750695,335.51015,137.6608755,196.0430958,174.8660333,183.5538853,201.4908321,47.61393333
Predicted,664510,1988,179.8719376,329.8954376,171.0601667,146.0003917,2013.598947,7.747325,1.59365,0.1431736,241.9831083,76.240075,0.047039365,322.462975,137.6608755,193.5544467,155.9382417,142.9138883,157.519047,57.25059167
Predicted,664510,1956,245.0659546,535.4831446,176.2422583,145.7739667,2013.598947,10.40076667,1.882,0.151731896,248.3216833,77.574075,0.047433251,332.7861083,137.6608755,219.6865782,159.9619417,180.6131652,197.8152509,47.75435
Predicted,664510,1954,194.4598134,363.0201224,174.7211417,141.1487417,2013.598947,6.974566667,1.543041667,0.131889834,247.6448083,76.203,0.046702698,326.4328833,137.6608755,218.5746314,158.088925,153.7952093,167.8045393,55.64921667
Predicted,664510,1987,185.3540076,337.1064424,173.3282417,143.4570667,2013.598947,5.524866667,1.599116667,0.131395641,239.7642917,81.93351667,0.047392918,321.4137833,137.6608755,256.1688285,156.2650667,143.6999499,160.9988645,60.579725
Predicted,664510,1964,226.9791036,462.1925396,189.6546667,130.908775,2013.598947,7.039983333,1.652358333,0.155617339,255.5317333,77.08186667,0.048646481,333.2036,137.6608755,240.6104691,172.919675,173.4455924,188.7565341,46.824675
Predicted,664510,1993,259.9123466,579.2838459,184.9670167,144.0401667,2013.598947,10.971,1.838516667,0.142451424,251.882825,81.38503333,0.048055245,339.3097083,137.6608755,193.1658948,169.4204,192.1133744,206.0983232,39.40110833
Predicted,664510,1958,220.1401666,444.6901974,183.691875,132.194,2013.598947,8.671925,1.494391667,0.133485102,242.6972833,78.20159167,0.048509869,324.1448833,137.6608755,224.7228885,166.31645,167.5853984,179.2334132,57.1208
Predicted,664510,1994,186.2839366,337.4161038,165.446775,150.6462583,2013.598947,6.701008333,1.978216667,0.136737326,235.5692417,79.03290833,0.047774341,321.4674833,137.6608755,237.364511,149.2402167,142.8563984,154.6381881,58.725025
