Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,664488,2015,17.98910211,132.328101,204,115,825.0674954,NA,NA,0.065981535,250,69,0.070608261,319,158.5086068,182.9660736,188,15.60466328,73.90566169,62
Current,664488,2016,67.09467533,230.9862456,132,171,825.0674954,2,1,0.070965342,253,50,0.070783364,303,142.489507,151.9515374,116,31.76312072,125.9965204,78
Current,664488,2017,281.2866338,906.6021777,120,212,825.0674954,109,2,0.060032977,251,81,0.030086785,332,204.6100975,264.356138,104,356.350115,400.1694838,49
Current,664488,2018,NA,NA,NA,NA,825.0674954,NA,NA,NA,229,73,0.063556416,302,NA,NA,NA,32.8061649,156.2463495,79
Current,664488,2019,96.62359974,454.8567833,168,157,825.0674954,28,3,0.059254673,254,71,0.045480913,325,185.6679307,204.6199711,152,148.0721243,223.127148,56
Current,664488,2020,34.69494026,328.4821912,149,171,825.0674954,1,1,0.076627062,254,66,0.084963597,320,232.6898419,262.8752579,133,65.92166104,91.12203882,61
Current,664488,2021,NA,NA,NA,NA,825.0674954,NA,NA,NA,48,226,0.032131157,274,NA,NA,NA,6.341311145,60.63300354,107
Current,664488,2022,27.4027523,214.3801409,150,143,825.0674954,NA,NA,0.053275533,244,49,0.093254471,293,143.5678742,164.2226891,134,15.42718237,74.88242801,88
Current,664488,2023,275.9697719,831.6976824,182,119,825.0674954,59,1,0.059003475,236,65,0.038698222,301,NA,NA,NA,NA,NA,NA
Predicted,664488,1952,278.8674906,946.2955805,173.8367417,139.0694417,3954.051372,11.40808333,1.566758333,0.140742658,245.829225,82.55485833,0.048676057,319.67055,174.2784893,231.0614485,158.9776,182.1235854,240.3130444,63.01150833
Predicted,664488,1950,294.9897735,986.1494221,186.9704333,130.280775,3954.051372,7.577791667,1.669816667,0.136623283,254.43015,75.57514167,0.048248668,322.842125,174.2784893,267.023676,170.546375,200.9572187,258.1116375,59.30695833
Predicted,664488,1990,140.3671354,386.9239259,168.0708667,148.2938917,3954.051372,6.082416667,1.351691667,0.118433403,248.1548167,77.819125,0.04728152,316.3284167,174.2784893,227.1477822,153.0669083,117.9330776,141.6180025,65.601625
Predicted,664488,1951,248.8857595,831.6482544,171.6986917,147.004225,3954.051372,6.959133333,1.311466667,0.135729392,249.9543917,78.77976667,0.04837962,318.9392333,174.2784893,257.9850057,155.0312667,173.4476358,230.8242658,63.61855
Predicted,664488,1988,149.8070033,458.5410442,172.0589,140.107275,3954.051372,8.222416667,1.686375,0.145798043,241.0194,76.92013333,0.047425061,313.2996167,174.2784893,211.8685872,156.8735083,124.1610072,154.7753866,68.19605
Predicted,664488,1960,157.8659161,511.5924682,166.4267417,146.0789667,3954.051372,6.570516667,1.626316667,0.134252704,241.7388333,78.52934167,0.047478021,314.075025,174.2784893,235.1823092,150.7176833,124.4979553,156.23416,68.85205
Predicted,664488,1989,188.5729865,647.2030729,165.3967833,149.4430667,3954.051372,9.171558333,1.6679,0.128582875,246.719025,82.55281667,0.047712814,316.4232083,174.2784893,206.5367707,151.7713,150.0036327,198.6230144,66.05784167
