Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
1951,NA,NA,NA,NA,23,2,NA,0,NA,NA,255,NA,NA,NA,148,170.6,126
1952,87,183,108,215,89,6,0.044117647,309,14,0.0738265,323,136.5,166.9,92,162,204.9,58
1953,NA,NA,NA,NA,50,4,NA,213,19,0.118055556,232,NA,NA,NA,124,165,149
1954,131,197.5,60,150,55,12,0.027149877,179,31,0.031007752,210,161,173.7,44,158.5,186.1,171
1955,115,138,184,101,5,3,0.046783626,261,24,0.036764706,285,143,163.3,168,146,187.6,96
1956,126,168,198,121,39,8,0.055749806,307,12,0.041666667,319,170.5,198,182,183,192.9,62
1957,131,149,10,230,2,1,0.020942408,17,223,0.02,240,NA,NA,0,158,184,141
1958,NA,NA,235,NA,82,1,NA,12,210,0.041830065,222,111,143.2,219,222,246.3,159
1959,145.2,188,44,119,24,7,0.025707111,78,85,0.014875028,163,177,185.9,28,154,186,218
1960,110,136,147,62,1,1,NA,NA,NA,NA,209,154,162,131,137,153,172
1961,86,135,9,268,NA,NA,0.021660265,28,249,0.014545647,277,NA,NA,0,71,94.8,104
1962,NA,NA,NA,NA,NA,NA,NA,282,68,0.043890044,350,NA,NA,NA,92,123.1,31
1963,66.4,102,56,278,1,1,0.018210457,147,187,0.040540541,334,99,105.1,40,73,93,47
1964,NA,NA,30,NA,NA,NA,0.025641026,292,NA,NA,NA,75.5,79.7,14,NA,NA,NA
1965,43,134,213,127,NA,NA,0.104938272,327,13,0.028962461,340,102,121,197,145.5,155.2,41
1966,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,186,135,161.8,173,151,168,195
1967,37,130,228,31,NA,NA,NA,173,86,0.03649635,259,132,142,212,151,172,122
1968,56,165,244,81,NA,NA,0.031055901,312,13,0.025316456,325,120,160.3,228,165.5,174,56
1969,46,163,224,43,NA,NA,0.035928144,252,15,0.084507042,267,153,180.3,208,171,181,114
1970,118.4,143,51,178,3,1,0.010313663,105,124,0.021428571,229,182,190,35,162,182,152
1971,112.4,166,10,195,NA,NA,NA,NA,NA,NA,205,NA,NA,0,156,178,176
1972,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,199,163.5,174,188,145,181.9,182
1973,NA,NA,227,NA,16,7,NA,NA,NA,NA,208,143,168,211,175,204,173
1974,45,170,34,291,4,1,0.02247191,294,31,0.018976011,325,174.5,184,18,177,183.6,56
1975,NA,NA,246,NA,3,1,NA,189,43,0.028571429,232,121,144,230,156,183.3,149
1976,102,173,40,251,71,6,0.01740722,279,12,0.018276515,291,176,207.7,24,181.5,192,90
1977,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA
1978,NA,NA,228,NA,NA,NA,NA,0,NA,NA,173,103,115.9,212,137,159.8,208
1979,NA,NA,244,NA,NA,NA,NA,186,39,0.024390244,225,113.5,146,228,134,165.6,156
1980,NA,NA,126,NA,4,3,NA,NA,NA,NA,68,121,144,110,161,181,313
1981,141.4,176,2,263,2,2,0.022099448,106,159,0.022857143,265,NA,NA,0,148,165.6,116
1982,NA,NA,221,NA,29,11,NA,NA,NA,NA,218,153,182,205,191,210.8,163
1983,129.2,241,242,113,134,9,0.02962963,342,13,0.032599584,355,175,210,226,211,241.6,26
1984,NA,NA,NA,NA,114,16,NA,288,31,0.013422819,319,NA,NA,NA,170.5,240.9,62
1985,NA,NA,NA,NA,203,15,NA,271,6,0.04784689,277,NA,NA,NA,235,257,104
1986,13,201.5,66,272,206,15,0.095454545,327,11,0.032093822,338,221.5,238,50,205,235.8,43
1987,125.1,150.5,19,222,18,4,0.022727273,211,30,0.057641196,241,200,213.6,3,136,154,140
1988,NA,NA,202,NA,NA,NA,0.039886364,323,NA,NA,NA,103.5,116.5,186,NA,NA,NA
1989,NA,NA,96,NA,97,10,0.027777778,289,NA,NA,NA,100.5,110,80,NA,NA,NA
1990,128.6,177,219,119,21,2,0.040629676,262,76,0.020323524,338,128,173.6,203,143.5,151,43
1991,130,198,199,165,75,7,0.03652968,346,18,0.017751479,364,122,135,183,167,202.5,17
1992,114,139,20,346,2,2,0.021203796,314,62,0.01,376,164,190.5,4,100,102,15
1993,76,158,241,101,10,3,0.066763425,316,26,0.017241379,342,82,116.6,225,149,168.1,39
