Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
2015,22.82418811,114.3482262,184,139,NA,NA,0.048402604,249,74,0.065876409,323,87.97044299,110.4616175,168,30.20540696,49.61011487,58
2016,26.49946475,242.8365596,175,132,1,1,0.087508104,253,54,0.068130348,307,74.81454075,86.49712139,159,15.84932495,70.72005941,74
2017,140.3034629,507.6305242,122,206,64,4,0.084305961,251,77,0.040782933,328,103.5334724,123.4012495,106,145.1187526,171.4070895,53
2018,35.72270425,133.734364,178,155,NA,NA,0.052277172,241,92,0.04213585,333,117.3938448,176.8494305,162,18.21500965,62.85422281,48
2019,61.54456037,229.5237928,177,149,4,1,0.093300618,262,64,0.047989408,326,75.82208581,92.52633107,161,82.57528034,94.72032979,55
2020,29.25692543,182.7462678,181,136,NA,NA,0.107364444,248,69,0.055862761,317,98.86368093,112.7924739,165,22.70964487,37.48656517,64
2021,NA,NA,NA,NA,NA,NA,NA,252,26,0.023454594,278,NA,NA,NA,13.3314307,28.97764214,103
2022,27.38057894,133.3458385,168,124,NA,NA,0.060747265,259,33,0.082591443,292,73.19794965,81.44420404,152,15.82528381,25.28200061,89
2023,108.0998056,472.3852592,184,144,60,1,0.059010244,244,84,0.041104863,328,83.32217809,97.31980862,168,100.2582819,129.5991992,53
2024,81.01226091,262.3702233,180,161,24,2,0.06749212,256,85,0.038176989,341,NA,NA,NA,NA,NA,NA
