metric,p10,p25,p50,p75,p90
HF_Mag_10,164.42,290.1,590,949.55,1612.6
HF_Mag_50,883.7,1170,1700,2597.5,3193
HF_Tim,9.8,19.5,60,105,139.4
HF_Dur,152.2,181,225,252,269.6
Peak_Dur_2,2.5,12,36,66.25,104
Peak_Fre_2,1,1,2,3,4.5
HFA_ROC,0.037579978,0.04667209,0.076372315,0.104075689,0.129150881
HFR_Tim,196.7,206,235.5,256,262.3
HFR_Dur,27,31,46,68.25,87.5
HFR_ROC,0.052862786,0.073948481,0.093603769,0.124110626,0.154699641
SLF_Tim,259.7,267.75,285,292,308.6
WLF_Mag_50,577.5,691,909.5,1331.25,2505
WLF_Mag_90,759.65,920.8,1183.5,1846,2964
WLF_Dur,0,3.25,38,89.25,123.6
SLF_Mag_50,84.6,135,178,1041.75,1511
SLF_Mag_90,291.68,440.8,770.4,1670.5,2331.6
SLF_Dur,72.2,89,96,113.5,121.4
