metric,p10,p25,p50,p75,p90
HF_Mag_10,25.76440942,27.38057894,35.72270425,81.01226091,114.5405371
HF_Mag_50,129.546316,133.734364,229.5237928,262.3702233,479.4343122
HF_Tim,158.8,175,178,181,184
HF_Dur,130.4,136,144,155,170
Peak_Dur_2,2.2,4,24,60,62.4
Peak_Fre_2,1,1,1,2,3.2
HFA_ROC,0.051502258,0.059010244,0.06749212,0.087508104,0.096113383
HFR_Tim,243.7,248.25,251.5,255.25,259.3
HFR_Dur,32.3,56.5,71.5,82.25,85.7
HFR_ROC,0.03670475,0.040863416,0.045062629,0.063372997,0.069576458
SLF_Tim,290.6,309.5,324.5,328,333.8
WLF_Mag_50,74.32956342,75.57019955,85.64631054,100.0311288,107.6915841
WLF_Mag_90,84.98124619,91.01902865,103.8907131,115.4446678,139.4357038
WLF_Dur,138.2,157.25,161.5,165.75,168
SLF_Mag_50,15.32651319,15.84932495,22.70964487,82.57528034,109.230376
SLF_Mag_90,28.23851383,37.48656517,62.85422281,94.72032979,137.9607773
SLF_Dur,52,53,58,74,91.8
