metric,p10,p25,p50,p75,p90
HF_Mag_10,23.63729222,31.04884628,67.09467533,186.2966858,278.0965167
HF_Mag_50,181.5593249,222.6831933,328.4821912,643.2772329,861.6594805
HF_Tim,127.2,140.5,150,175,190.8
HF_Dur,117.4,131,157,171,187.4
Peak_Dur_2,1.4,2,28,59,89
Peak_Fre_2,1,1,1,2,2.6
HFA_ROC,0.056712298,0.059129074,0.060032977,0.068473439,0.07323003
HFR_Tim,192.8,236,250,253,254
HFR_Dur,49.8,65,69,73,110
HFR_ROC,0.031722283,0.038698222,0.063556416,0.070783364,0.086621772
SLF_Tim,289.2,301,303,320,326.4
WLF_Mag_50,143.0286906,147.3030574,172.0882688,199.8745558,218.6499697
WLF_Mag_90,158.0871133,168.9085352,193.7930224,248.3114362,263.615698
WLF_Dur,110,120.25,133.5,147.5,170
SLF_Mag_50,12.701421,15.56029305,32.28464281,86.45927686,210.5555215
SLF_Mag_90,69.92386425,74.63823643,108.5592796,172.9665491,276.2398487
SLF_Dur,53.9,59.75,70,81.25,93.7
