Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,10348934,2010,2.2,35,163,123,121,NA,NA,0.078947368,239,47,0.242857143,286,30.3,32.28,147,2,7,95
Current,10348934,2011,37,146.5,156,166,121,99,2,0.130890052,241,81,0.064978903,322,32.95,44.15,140,20,38,59
Current,10348934,2012,NA,NA,NA,NA,121,NA,NA,NA,187,63,0.133928571,250,NA,NA,NA,3,13.7,131
Current,10348934,2013,NA,NA,NA,NA,121,NA,NA,NA,222,57,0.118823529,279,NA,NA,NA,12.3,20.8,102
Current,10348934,2014,15,30,123,171,121,NA,NA,0.076923077,235,59,0.107142857,294,23.6,26,107,15,22,87
Current,10348934,2015,13,21.8,28,255,121,NA,NA,0.047619048,234,49,0.08479021,283,11.35,14.19,12,13.8,17.4,98
Current,10348934,2016,15.22,21,58,223,121,NA,NA,0.060240964,234,47,0.083333333,281,11.1,15.99,42,13.95,20.52,100
Current,10348934,2017,30.06,94,119,167,121,70,2,0.098654709,228,58,0.072072072,286,21.2,26.68,103,24,30,95
Current,10348934,2018,18.06,30.5,170,134,121,3,2,0.068573668,244,60,0.109090909,304,29.6,34.5,154,13.6,21.1,77
Current,10348934,2019,27.8,139,166,129,121,68,2,0.110293666,232,63,0.098076923,295,20.3,26.11,150,26,36.86,86
Current,10348934,2020,24.95,34.5,132,140,121,1,1,0.0625,239,33,0.112001791,272,28.95,30.85,116,21,26.7,109
Current,10348934,2021,12,19,25,341,121,2,1,0.053053757,238,129,0.085144928,367,14.9,20.02,9,10.8,13.68,15
Current,10348934,2022,13.92,28,137,147,121,NA,NA,0.076923077,234,50,0.088235294,284,12.1,20,121,14.2,18.6,97
Current,10348934,2023,27.2,133,183,105,121,58,4,0.193999457,230,58,0.070592099,288,18,28,167,21.95,28.04,93
Current,10348934,2024,26.6,98,162,127,121,46,3,0.13559322,211,78,0.074712644,289,NA,NA,NA,NA,NA,NA
Prediction,10348934,1970,19.1688304,63.62009421,180.6430167,138.3336083,329.6921621,3.626439735,1.511333333,0.106888494,253.0634179,68.04358333,0.049691874,319.2721667,17.07336732,25.06693312,163.6635583,18.9315127,32.91827229,61.667475
Prediction,10348934,2006,26.27007884,82.21970205,168.6881417,151.0628583,329.6921621,6.079862856,2.631966667,0.100679298,243.71875,79.39765,0.04920958,315.7115417,17.07336732,24.29699395,152.973325,19.55154964,29.10584212,66.2473
Prediction,10348934,1996,28.51665078,89.81164591,173.491525,150.1774083,329.6921621,4.477872791,1.653333333,0.099413747,246.3753333,78.01249167,0.046778237,318.1731,17.07336732,24.553746,156.25235,18.20825751,28.81671459,60.598475
Prediction,10348934,1951,20.30392438,61.01548717,175.5278417,148.54065,329.6921621,3.769053763,1.510383333,0.112003952,249.0467333,80.39748333,0.04903731,321.91735,17.07336732,24.08486367,160.3073333,13.80642913,21.44540586,58.53549167
Prediction,10348934,1961,11.72469956,32.48599148,167.7419417,135.0279167,329.6921621,3.547048118,1.548833333,0.095730309,242.7232,77.58316667,0.050051618,309.5007333,17.07336732,21.31420957,153.727825,14.27900675,22.32729199,70.78395833
