Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,664510,2015,22.82418811,114.3482262,184,139,678.8213579,NA,NA,0.048402604,249,74,0.065876409,323,87.97044299,110.4616175,168,30.20540696,49.61011487,58
Current,664510,2016,26.49946475,242.8365596,175,132,678.8213579,1,1,0.087508104,253,54,0.068130348,307,74.81454075,86.49712139,159,15.84932495,70.72005941,74
Current,664510,2017,140.3034629,507.6305242,122,206,678.8213579,64,4,0.084305961,251,77,0.040782933,328,103.5334724,123.4012495,106,145.1187526,171.4070895,53
Current,664510,2018,35.72270425,133.734364,178,155,678.8213579,NA,NA,0.052277172,241,92,0.04213585,333,117.3938448,176.8494305,162,18.21500965,62.85422281,48
Current,664510,2019,61.54456037,229.5237928,177,149,678.8213579,4,1,0.093300618,262,64,0.047989408,326,75.82208581,92.52633107,161,82.57528034,94.72032979,55
Current,664510,2020,29.25692543,182.7462678,181,136,678.8213579,NA,NA,0.107364444,248,69,0.055862761,317,98.86368093,112.7924739,165,22.70964487,37.48656517,64
Current,664510,2021,NA,NA,NA,NA,678.8213579,NA,NA,NA,252,26,0.023454594,278,NA,NA,NA,13.3314307,28.97764214,103
Current,664510,2022,27.38057894,133.3458385,168,124,678.8213579,NA,NA,0.060747265,259,33,0.082591443,292,73.19794965,81.44420404,152,15.82528381,25.28200061,89
Current,664510,2023,108.0998056,472.3852592,184,144,678.8213579,60,1,0.059010244,244,84,0.041104863,328,83.32217809,97.31980862,168,100.2582819,129.5991992,53
Current,664510,2024,81.01226091,262.3702233,180,161,678.8213579,24,2,0.06749212,256,85,0.038176989,341,NA,NA,NA,NA,NA,NA
Prediction,664510,1955,157.8204127,389.527589,186.0968333,135.511075,1754.939581,6.455683524,1.418066667,0.121533213,253.5393583,79.04295833,0.044969236,335.86305,136.6785973,142.4666259,171.4749417,103.7542648,138.4342405,47.66646667
Prediction,664510,1988,88.32962853,271.6766419,172.700575,146.2721583,1754.939581,4.804879706,1.558891667,0.117456249,241.113925,74.81173333,0.042857981,323.38715,136.6785973,128.311524,157.649725,68.71655105,85.73189996,56.63508333
Prediction,664510,1956,168.9086811,428.2586764,175.147,146.458,1754.939581,6.268832481,1.869633333,0.124107717,247.6964667,76.76255,0.044106381,331.2222333,136.6785973,181.3592556,159.687625,97.78902714,118.0015408,50.420875
Prediction,664510,1954,98.04946508,284.5274909,180.7787667,141.9991833,1754.939581,3.74811549,1.509541667,0.11429802,248.537625,75.07105833,0.042830905,326.8141583,136.6785973,175.1283661,164.6675333,72.3519046,93.37629895,56.05309167
Prediction,664510,1987,115.2929599,268.5933983,173.5206333,145.1985667,1754.939581,2.623625346,1.586175,0.111969752,241.4727,80.57695833,0.04323268,321.9414667,136.6785973,206.7659243,155.7761833,63.52270416,81.8126931,60.06499167
Prediction,664510,1964,151.7048369,377.3641837,188.9942833,132.65605,1754.939581,5.326200637,1.659716667,0.128428687,254.8541417,76.78010833,0.044789086,333.5528083,136.6785973,195.147019,174.2354667,92.01328307,114.2030943,47.66128333
Prediction,664510,1993,174.8970963,444.3752818,187.2015833,143.6785583,1754.939581,7.39096949,1.791016667,0.121734229,255.0867833,80.48148333,0.044121495,340.0336083,136.6785973,117.2152404,170.9324,108.944553,135.6657193,39.710225
Prediction,664510,1958,137.1806623,315.0297824,178.847625,132.1564917,1754.939581,7.633513033,1.4333,0.110690468,246.3205833,76.96780833,0.043999087,323.43035,136.6785973,177.1724626,163.4785917,86.08000066,115.2394532,57.493275
