Group,COMID,Year,HF_Mag_10,HF_Mag_50,HF_Tim,HF_Dur,Peak_2,Peak_Dur_2,Peak_Fre_2,HFA_ROC,HFR_Tim,HFR_Dur,HFR_ROC,SLF_Tim,WLF_Mag_50,WLF_Mag_90,WLF_Dur,SLF_Mag_50,SLF_Mag_90,SLF_Dur
Current,664488,2015,17.98910211,132.328101,204,115,825.0674954,NA,NA,0.065981535,250,69,0.070608261,319,158.5086068,182.9660736,188,15.60466328,73.90566169,62
Current,664488,2016,67.09467533,230.9862456,132,171,825.0674954,2,1,0.070965342,253,50,0.070783364,303,142.489507,151.9515374,116,31.76312072,125.9965204,78
Current,664488,2017,281.2866338,906.6021777,120,212,825.0674954,109,2,0.060032977,251,81,0.030086785,332,204.6100975,264.356138,104,356.350115,400.1694838,49
Current,664488,2018,NA,NA,NA,NA,825.0674954,NA,NA,NA,229,73,0.063556416,302,NA,NA,NA,32.8061649,156.2463495,79
Current,664488,2019,96.62359974,454.8567833,168,157,825.0674954,28,3,0.059254673,254,71,0.045480913,325,185.6679307,204.6199711,152,148.0721243,223.127148,56
Current,664488,2020,34.69494026,328.4821912,149,171,825.0674954,1,1,0.076627062,254,66,0.084963597,320,232.6898419,262.8752579,133,65.92166104,91.12203882,61
Current,664488,2021,NA,NA,NA,NA,825.0674954,NA,NA,NA,48,226,0.032131157,274,NA,NA,NA,6.341311145,60.63300354,107
Current,664488,2022,27.4027523,214.3801409,150,143,825.0674954,NA,NA,0.053275533,244,49,0.093254471,293,143.5678742,164.2226891,134,15.42718237,74.88242801,88
Current,664488,2023,275.9697719,831.6976824,182,119,825.0674954,59,1,0.059003475,236,65,0.038698222,301,NA,NA,NA,NA,NA,NA
Prediction,664488,1952,189.3808823,810.0930431,179.9142,142.147075,3193.329981,9.678514166,1.541766667,0.120089482,245.2858083,81.06105833,0.042572481,317.9821167,135.3666621,181.9556731,163.5364,112.089725,198.3148908,63.87386667
Prediction,664488,1950,197.989045,878.9725894,189.24955,135.0863583,3193.329981,4.679473772,1.667083333,0.118377204,253.528125,74.06801667,0.042592469,321.116825,135.3666621,200.5196773,173.4577917,117.3094844,203.8141536,60.03000833
Prediction,664488,1990,80.33745112,347.8054874,171.320525,151.5998167,3193.329981,3.054734626,1.372766667,0.108490914,247.6344083,77.51129167,0.041435082,317.3927917,135.3666621,175.2517596,154.7062417,61.23786193,104.6089405,64.885575
Prediction,664488,1951,161.1880151,756.2861182,175.8627083,148.5744917,3193.329981,4.217643123,1.329733333,0.115056232,250.7211583,78.00519167,0.042545502,318.57835,135.3666621,194.1045704,159.16885,106.3273886,176.6958359,62.73550833
Prediction,664488,1988,76.30449789,434.7429531,174.3152833,143.940425,3193.329981,5.438377868,1.674858333,0.12136397,239.245225,76.54523333,0.042319062,312.599425,135.3666621,139.9328135,159.0765417,62.59955703,105.5945652,67.73105833
Prediction,664488,1960,70.3822085,443.6785679,170.6065667,147.787275,3193.329981,3.255932106,1.590566667,0.113520161,239.5409083,78.32550833,0.04200628,312.4884583,135.3666621,183.3249258,154.3022583,61.40687146,121.9622737,68.81601667
Prediction,664488,1989,86.06987658,597.6030506,169.7419333,152.50105,3193.329981,4.527604594,1.608016667,0.108782951,246.40295,81.30108333,0.042631206,315.8762417,135.3666621,133.5670492,155.1107583,84.48047338,156.6638038,66.32955
